INFO 2025-06-14 11:28:02,441 views 16792 1648 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_0cuHz7h.txt' через API.
INFO 2025-06-14 11:28:02,443 views 16792 1648 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:28:02,869 views 16792 1648 Уведомление о файле 'uploads/test_file_GgcTxsA.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:28:02,869 views 16792 1648 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_GgcTxsA.txt' через API.
INFO 2025-06-14 11:28:02,872 views 16792 1648 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:28:02,875 views 16792 1648 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:28:02,879 views 16792 1648 API: Уведомление о замене файла 'uploads/test_file_GgcTxsA.txt' на 'uploads/updated_test_file_Xcttt4Q.txt' успешно отправлено.
INFO 2025-06-14 11:28:03,304 views 16792 1648 Уведомление о файле 'uploads/test_file_DnlgCjR.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:28:03,304 views 16792 1648 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_DnlgCjR.txt' через API.
INFO 2025-06-14 11:28:03,305 views 16792 1648 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:28:03,308 views 16792 1648 API: Уведомление об удалении файла 'uploads/test_file_DnlgCjR.txt' успешно отправлено.
INFO 2025-06-14 11:28:03,730 views 16792 1648 Уведомление о файле 'uploads/dummy_CiLGboW.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:28:04,613 views 16792 1648 Отчет на почту test@example.com успешно отправлен пользователем testadmin.
INFO 2025-06-14 11:32:59,063 views 5884 18880 Уведомление о файле 'uploads/test_file_Ak9onMA.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:32:59,063 views 5884 18880 Пользователь testadmin успешно загрузил файл 'uploads/test_file_Ak9onMA.txt'.
INFO 2025-06-14 11:32:59,522 views 5884 18880 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:32:59,992 views 5884 18880 Уведомление о файле 'uploads/test_file_j08PCrV.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:32:59,992 views 5884 18880 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_j08PCrV.txt' через API.
INFO 2025-06-14 11:33:00,464 views 5884 18880 Уведомление о файле 'uploads/test_file_9JKOSLX.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:33:00,465 views 5884 18880 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_9JKOSLX.txt' через API.
INFO 2025-06-14 11:33:00,467 views 5884 18880 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:33:00,925 views 5884 18880 Уведомление о файле 'uploads/test_file_f6Glvbw.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:33:00,925 views 5884 18880 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_f6Glvbw.txt' через API.
INFO 2025-06-14 11:33:00,928 views 5884 18880 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:33:00,931 views 5884 18880 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:33:00,937 views 5884 18880 API: Уведомление о замене файла 'uploads/test_file_f6Glvbw.txt' на 'uploads/updated_test_file_ACTi87J.txt' успешно отправлено.
INFO 2025-06-14 11:33:01,394 views 5884 18880 Уведомление о файле 'uploads/test_file_8XnNprR.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:33:01,394 views 5884 18880 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_8XnNprR.txt' через API.
INFO 2025-06-14 11:33:01,396 views 5884 18880 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:33:01,398 views 5884 18880 API: Уведомление об удалении файла 'uploads/test_file_8XnNprR.txt' успешно отправлено.
INFO 2025-06-14 11:33:01,859 views 5884 18880 Уведомление о файле 'uploads/dummy_XOJRj8f.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:33:02,801 views 5884 18880 Отчет на почту test@example.com успешно отправлен пользователем testadmin.
INFO 2025-06-14 11:33:03,696 views 5884 18880 Пользователь testadmin просматривает свой профиль.
